subject,app_item,app_money,ac_item,ac_money,father,id
数学,1835,100169.22,489,25428.00,0,0
力学,1444,106578.25,383,24247.00,0,1
天文学,384,28124.58,103,6504.00,0,2
物理学I,1645,116055.08,438,27638.00,0,3
物理学II,1236,91662.27,330,20823.00,0,4
合成化学,1287,92979.22,301,19584.00,1,0
催化与表界面化学,767,54139.50,176,11470.00,1,1
化学理论与机制,522,36587.15,116,7561.00,1,2
化学测量学,717,51306.31,159,10363.00,1,3
材料化学与能源化学,1369,97150.88,293,19099.00,1,4
环境化学,972,68960.08,214,13948.00,1,5
化学生物学,608,43377.84,134,8734.00,1,6
化学工程与工业化学,1569,108951.44,344,22421.00,1,7
微生物学、植物学,1575,111489.43,415,24240.00,2,0
生态学、林学,1758,120487.69,399,23283.00,2,1
生物物理、生化与生物分子学、生物力学与组织工程、免疫学,1293,93774.17,349,20315.00,2,2
神经、认识与心理学、生理学与整合生物学,897,64872.33,242,14004.00,2,3
遗传学与生物信息学、细胞生物学、发育生物学与生殖生物学,1188,87483.55,343,19917.00,2,4
食品科学、农学基础与作物学,2256,155317.40,459,26794.00,2,5
植物保护学、园艺学与植物营养学,1501,104251.62,322,18773.00,2,6
动物学、畜牧学与草地科学、兽医学、水产学,2196,152797.90,519,30144.00,2,7
地理学,1638,116822.43,382,22394.00,3,0
地质学,910,76817.64,255,16746.00,3,1
地球化学,197,16799.39,76,4810.00,3,2
地球物理学和空间物理学,729,56544.86,218,13692.00,3,3
大气科学学科,589,45696.63,184,11511.00,3,4
海洋科学,862,66359.52,231,14378.00,3,5
环境地球科学和土壤学,2186,165393.69,549,33679.00,3,6
金属材料学科,1371,93504.75,250,14989.00,4,0
无机非金属材料学科,1725,119634.91,341,20473.00,4,1
有机高分子材料学科,1246,86754.39,240,14374.00,4,2
冶金与矿业学科,2022,136866.98,372,22364.00,4,3
机械工程学科,3077,205385.80,586,35158.00,4,4
工程热物理与能源利用学科,1128,79077.78,226,13548.00,4,5
电气科学与工程学科,1142,77384.82,216,13028.00,4,6
建筑环境与结构工程学科,3596,240206.32,676,40590.00,4,7
水利科学与海洋工程学科,1556,106915.01,292,17564.00,4,8
电子学与信息系统,2401,160850.09,478,28754.00,5,0
计算机科学学科,2182,143162.93,460,27535.00,5,1
自动化学科,3641,238542.49,632,37571.00,5,2
半导体科学、光学和光电子学,2334,165391.18,437,26177.00,5,3
管理科学与工程,1181,61795.47,235,11280.00,6,0
工商管理,1077,55378.17,200,9600.00,6,1
经济科学,940,47796.84,153,7344.00,6,2
宏观管理与政策,1321,70002.22,215,10320.00,6,3
医学科学一处,2824,192996.24,512,28595.00,7,0
医学科学二处,3506,239497.77,627,35070.00,7,1
医学科学三处,2262,155423.44,401,22477.00,7,2
医学科学四处,1392,95183.98,266,14859.00,7,3
医学科学五处,1603,108679.98,256,14229.00,7,4
医学科学六处,2624,176447.62,432,24001.00,7,5
医学科学七处,5188,353445.86,855,47885.00,7,6
医学科学八处,1151,81087.88,256,14377.00,7,7
医学科学九处,1451,100786.52,273,15200.00,7,8
医学科学十处,4551,296958.47,637,35427.00,7,9